2;49: 1
2_3_16_25;23_32_33_43: 1
2_3_26_54;23_30_32_37: 1
2_3_30_66;23_25_32_33: 1
2_3_33_47;25_30_46_60: 1
2_3_47_52;25_30_49_64: 1
2_5_51_54;23_25_32_52: 1
2_16_22_25;26_30_32_52: 1
2_16_22_32;25_30_43_46: 1
2_16_22_39;32_43_52_56: 1
2_16_25_30;23_32_52_60: 1
2_16_30_47;23_25_32_52: 1
2_16_30_60;23_25_32_52: 1
2_16_30_60;32_47_52_56: 1
2_16_35_63;25_30_32_49: 1
2_16_39_43;23_25_32_52: 1
2_22_23_32;3_25_52_60: 1
2_22_23_32;14_25_51_52: 1
2_22_23_32;25_30_38_46: 1
2_22_23_32;25_30_52_60: 1
2_22_23_32;25_47_54_60: 1
2_22_23_46;3_52_56_60: 1
2_22_27_41;23_25_32_52: 1
2_22_30_38;23_25_32_47: 1
2_22_30_41;23_25_32_52: 2
2_22_30_49;32_47_52_58: 1
2_22_30_54;23_25_32_52: 1
2_22_30_63;23_32_60_66: 1
2_22_32_41;25_30_38_46: 1
2_22_32_60;25_30_38_46: 1
2_22_39_41;23_25_32_52: 2
2_22_39_66;16_25_30_38: 1
2_22_39_66;23_25_32_52: 1
2_22_45_54;23_25_32_52: 1
2_22_45_54;32_41_52_58: 1
2_22_46_50;25_43_54_60: 1
2_22_46_54;23_25_32_52: 2
2_22_54_63;25_34_43_46: 1
2_22_54_66;23_25_32_52: 1
2_23_25_39;32_43_52_56: 1
2_23_30_32;25_52_54_60: 1
2_23_32_37;25_52_54_60: 1
2_23_32_43;25_30_46_60: 1
2_23_32_43;25_39_52_60: 1
2_23_32_47;25_30_52_60: 1
2_23_32_47;25_30_54_60: 1
2_23_32_47;25_37_39_46: 1
2_23_32_47;25_43_46_48: 1
2_23_32_47;30_38_55_57: 1
2_23_32_47;30_52_56_58: 1
2_23_32_52;25_30_46_49: 1
2_23_32_52;25_30_46_60: 1
2_23_32_52;25_43_54_60: 1
2_23_32_63;30_45_51_52: 1
2_23_39_41;22_25_32_52: 1
2_23_39_41;25_32_49_64: 1
2_23_39_47;3_26_30_38: 1
2_23_39_47;25_30_38_46: 1
2_23_43_54;25_29_32_39: 1
2_23_47_54;30_38_46_60: 1
2_23_48_54;25_30_46_60: 1
2_23_54_63;5_25_32_49: 1
2_25_30_46;23_32_47_52: 1
2_25_30_46;23_32_52_54: 1
2_25_30_46;23_32_52_58: 1
2_25_30_46;23_32_52_60: 2
2_25_30_46;32_47_52_56: 1
2_25_30_46;32_47_64_66: 1
2_25_32_47;30_31_46_60: 1
2_25_32_47;39_46_52_60: 1
2_25_39_46;23_30_32_37: 1
2_25_39_46;30_32_52_56: 1
2_25_54_66;30_38_55_57: 1
2_26_30_37;23_25_32_52: 1
2_29_30_47;23_25_32_52: 1
2_29_47_66;23_32_52_60: 1
2_30_38_39;23_25_32_52: 1
2_30_38_47;23_25_32_52: 1
2_30_39_46;23_25_32_52: 1
2_30_39_54;23_25_32_52: 1
2_30_41_47;23_25_32_52: 1
2_30_43_46;23_25_32_52: 1
2_30_45_54;23_25_32_52: 1
2_30_46_47;23_25_32_52: 2
2_30_46_47;32_38_55_57: 1
2_30_46_54;23_25_32_52: 3
2_30_46_60;3_25_52_58: 1
2_30_46_60;23_25_32_52: 3
2_30_46_60;23_25_52_62: 1
2_30_46_60;23_32_47_66: 1
2_30_46_60;32_47_52_56: 1
2_30_55_57;23_25_32_52: 1
2_30_64_66;23_25_32_52: 1
2_32_39_47;25_30_36_46: 1
2_32_47_63;30_41_46_60: 1
2_32_47_66;25_30_43_46: 1
2_33_39_47;23_25_32_52: 1
2_36_37_52;16_25_47_50: 1
2_37_39_46;23_25_32_52: 1
2_37_39_47;25_30_41_46: 1
2_37_43_54;23_25_32_52: 1
2_37_47_54;23_25_32_52: 1
2_38;42_58: 1
2_38_47_48;15_33_57_64: 1
2_39_41_43;23_25_32_52: 1
2_39_41_47;23_32_33_43: 1
2_39_41_47;23_32_60_66: 1
2_39_41_47;25_30_46_60: 1
2_39_43_66;23_30_32_37: 1
2_39_46_60;23_30_32_37: 1
2_39_47_49;23_25_32_52: 1
2_39_47_54;23_25_32_52: 1
2_39_47_66;23_25_32_52: 1
2_39_47_66;23_30_32_37: 1
2_39_47_66;23_32_52_60: 1
2_39_51_52;23_30_32_37: 1
2_39_54_58;25_27_30_46: 1
2_39_58_66;23_25_32_52: 1
2_42_56_63;20_24_62_66: 1
2_42_58_60;37_52_54_63: 1
2_43_51_54;23_25_32_52: 1
2_45_47_54;23_25_32_52: 1
2_45_47_66;30_38_55_57: 1
2_46_47_54;30_32_49_60: 1
2_46_47_54;32_49_60_64: 1
2_47_52_54;30_37_46_60: 1
2_47_54_63;23_25_32_52: 1
2_47_54_63;23_30_32_37: 1
2_47_54_63;23_43_52_60: 1
2_47_54_63;32_45_51_52: 1
2_48_54_63;23_25_32_52: 1
2_52_54_58;25_30_46_60: 1
2_57_58_66;47_52_54_56: 1
3_5_26_30;15_16_32_47: 1
3_5_26_30;16_25_32_60: 1
3_5_26_30;22_32_52_56: 1
3_5_26_30;23_25_32_52: 1
3_5_26_30;23_32_33_43: 1
3_5_26_30;23_32_37_47: 1
3_5_26_30;23_32_52_60: 1
3_5_26_38;52_54_58_64: 1
3_5_34_52;25_30_32_48: 1
3_5_51_58;37_41_46_60: 1
3_6_43_58;25_42_47_55: 1
3_6_52_58;23_32_33_43: 1
3_6_52_60;2_37_41_63: 1
3_15_25_36;23_32_33_43: 1
3_15_47_66;23_25_32_52: 1
3_16_22_23;32_43_52_56: 1
3_16_22_41;23_25_32_52: 1
3_16_25_32;41_52_54_60: 1
3_16_32_60;25_30_38_46: 1
3_16_32_60;30_47_58_66: 1
3_16_38_60;25_32_43_46: 1
3_16_43_60;49_52_54_58: 1
3_16_46_66;23_25_32_52: 1
